"sale_year","ship_mode","total_sales_amount","total_quantity_sold","total_profit"
"2014","Standard Class","305621","4720","27955"
"2014","Second Class","101387","1466","9759"
"2014","First Class","59769","1039","9074"
"2014","Same Day","17470","356","2756"
"2015","Standard Class","284559","4931","36394"
"2015","Second Class","89103","1565","10751"
"2015","First Class","69259","1100","10146"
"2015","Same Day","27611","383","4327"
"2016","Standard Class","372432","6004","50652"
"2016","Second Class","120264","1822","18348"
"2016","First Class","82265","1457","9356"
"2016","Same Day","34506","556","5440"
"2017","Standard Class","395604","7142","49088"
"2017","Second Class","148702","2572","20589"
"2017","First Class","140134","2097","20394"
"2017","Same Day","48776","665","3368"
